iter	Passed	Remaining
0	170	170411
1	191	95789
2	210	69826
3	228	56964
4	245	48762
5	261	43275
6	275	39081
7	289	35958
8	305	33682
9	321	31826
10	338	30402
11	354	29198
12	372	28287
13	386	27205
14	402	26408
15	417	25670
16	434	25113
17	457	24937
18	473	24429
19	490	24041
20	507	23662
21	522	23208
22	539	22903
23	558	22729
24	580	22625
25	596	22360
26	611	22051
27	627	21771
28	643	21560
29	659	21309
30	675	21114
31	691	20903
32	707	20744
33	723	20553
34	738	20364
35	752	20139
36	767	19981
37	787	19938
38	802	19776
39	818	19634
40	831	19456
41	844	19273
42	856	19069
43	877	19058
44	893	18963
45	910	18881
46	925	18772
47	939	18637
48	954	18524
49	968	18408
50	981	18257
51	997	18185
52	1019	18209
53	1039	18207
54	1056	18146
55	1075	18126
56	1096	18147
57	1114	18105
58	1132	18054
59	1150	18021
60	1164	17925
61	1180	17866
62	1196	17790
63	1210	17701
64	1227	17650
65	1242	17578
66	1258	17528
67	1276	17499
68	1292	17438
69	1304	17334
70	1320	17275
71	1332	17173
72	1347	17109
73	1365	17082
74	1380	17029
75	1399	17016
76	1416	16974
77	1431	16922
78	1449	16893
79	1462	16813
80	1477	16761
81	1492	16713
82	1509	16676
83	1523	16608
84	1539	16569
85	1556	16544
86	1573	16507
87	1587	16457
88	1601	16396
89	1619	16374
90	1636	16344
91	1650	16293
92	1663	16228
93	1680	16192
94	1695	16150
95	1713	16136
96	1730	16113997	1746	16074998	1761	16027999	1780	160231100	1798	160111101	1816	159911102	1832	159541103	1849	15937
104	1866	15910
105	1882	15876
106	1897	158361107	1911	157881108	1927	157541109	1943	157221110	1958	156881111	1975	156651112	1992	15638
113	2009	15617
114	2026	15595
115	2039	15546
116	2059	15539
117	2076	15519
118	2091	15486
119	2108	15460
120	2122	15420
121	2138	15389
122	2157	15380
123	2171	15340
124	2190	15336
125	2207	15314
126	2224	15291
127	2240	15263
128	2255	15226
129	2272	15209
130	2288	15180
131	2308	15177
132	2327	15170
133	2345	15157
134	2362	15134
135	2378	15111
136	2396	15098
137	2414	15082
138	2429	15051
139	2446	15026
140	2463	15005
141	2495	15077
142	2516	15080
143	2537	15083
144	2563	15114
145	2582	15107
146	2595	15062
147	2610	15029
148	2627	15005
149	2645	14989
150	2661	14963
151	2677	14936
152	2693	14911
153	2707	14874
154	2723	14848
155	2740	14825
156	2759	14814
157	2776	14795
158	2792	14769
159	2808	14746
160	2825	14724
161	2839	14688
162	2855	14665
163	2873	14645
164	2888	14618
165	2903	14587
166	2922	14576
167	2937	14547
168	2951	14515
169	2967	14490
170	2983	14463
171	2999	14438
172	3015	14414
173	3031	14390
174	3049	14373
175	3062	14338
176	3080	14321
177	3094	14292
178	3109	14262
179	3128	14252
180	3143	14224
181	3158	14196
182	3173	14166
183	3190	14148
184	3207	14128
185	3219	14089
186	3235	14068
187	3250	14040
188	3268	14023
189	3286	14011
190	3301	13983
191	3316	13956
192	3332	13935
193	3346	13902
194	3363	13885
195	3375	13846
196	3389	13815
197	3403	13785
198	3418	13758
199	3431	13725
200	3445	13698
201	3461	13672
202	3481	13669
203	3496	13643
204	3514	13629
205	3526	13593
206	3542	13571
207	3557	13545
208	3571	13516
209	3588	13501
210	3606	13484
211	3620	13455
212	3632	13423
213	3645	13389
214	3659	13362
215	3678	13351
216	3693	13327
217	3704	13289
218	3718	13262
219	3733	13237
220	3748	13212
221	3766	13200
222	3783	13184
223	3799	13162
224	3814	13137
225	3833	13127
226	3846	13099
227	3859	13067
228	3873	13040
229	3885	13008
230	3901	12986
